date,amount,type,expense_category,description
01-02-2026,65000,Income,,Monthly salary credited
02-02-2026,250,Expense,Food,Morning tea and snacks
02-02-2026,180,Expense,Transportation,Auto rickshaw to office
03-02-2026,1200,Expense,Food,Lunch with colleagues
03-02-2026,499,Expense,Utilities,Mobile recharge
04-02-2026,300,Expense,Entertainment,Movie ticket
05-02-2026,2200,Expense,Food,Dinner at restaurant
06-02-2026,150,Expense,Transportation,Bus pass recharge
07-02-2026,999,Expense,Utilities,Internet broadband bill
08-02-2026,1200,Expense,Entertainment,Online game subscription
10-02-2026,5000,Income,,Freelance project payment
11-02-2026,350,Expense,Food,Grocery shopping
12-02-2026,200,Expense,Transportation,Cab ride
14-02-2026,1800,Expense,Entertainment,Weekend outing with friends
15-02-2026,750,Expense,Utilities,Electricity bill
18-02-2026,400,Expense,Food,Coffee and snacks
20-02-2026,2500,Expense,Other,Clothing purchase
22-02-2026,600,Expense,Food,Family dinner
25-02-2026,300,Expense,Transportation,Metro card top-up
27-02-2026,1000,Expense,Other,Unexpected medical expense

04-02-2026,100.0,Expense,Transportation,train ticket to mulund
